clave_enigh,bloque_enigh,ccif_clase,ccif_division,ccif_division_nombre,pendiente,nota
A001,Alimentos y bebidas,01.1.1.1.2,01,Alimentos y bebidas no alcoholicas,NO,
A002,Alimentos y bebidas,01.1.1.2.1,01,Alimentos y bebidas no alcoholicas,NO,
A003,Alimentos y bebidas,01.1.1.9.3,01,Alimentos y bebidas no alcoholicas,NO,
A004,Alimentos y bebidas,01.1.1.3.1,01,Alimentos y bebidas no alcoholicas,NO,
A005,Alimentos y bebidas,01.1.1.9.2,01,Alimentos y bebidas no alcoholicas,NO,
A006,Alimentos y bebidas,01.1.1.9.4,01,Alimentos y bebidas no alcoholicas,NO,
A007,Alimentos y bebidas,01.1.1.2.2,01,Alimentos y bebidas no alcoholicas,NO,
A008,Alimentos y bebidas,01.1.1.3.2,01,Alimentos y bebidas no alcoholicas,NO,
A009,Alimentos y bebidas,,,,SI,Sin clasificacion CCIF disponible
A010,Alimentos y bebidas,01.1.1.3.5,01,Alimentos y bebidas no alcoholicas,NO,
A011,Alimentos y bebidas,01.1.1.3.6,01,Alimentos y bebidas no alcoholicas,NO,
A012,Alimentos y bebidas,01.1.1.3.3,01,Alimentos y bebidas no alcoholicas,NO,
A013,Alimentos y bebidas,01.1.1.3.7,01,Alimentos y bebidas no alcoholicas,NO,
A014,Alimentos y bebidas,01.1.1.3.8,01,Alimentos y bebidas no alcoholicas,NO,
A015,Alimentos y bebidas,01.1.1.3.4,01,Alimentos y bebidas no alcoholicas,NO,
A016,Alimentos y bebidas,01.1.1.3.9,01,Alimentos y bebidas no alcoholicas,NO,
A017,Alimentos y bebidas,01.1.1.3.A,01,Alimentos y bebidas no alcoholicas,NO,
A018,Alimentos y bebidas,01.1.1.3.B,01,Alimentos y bebidas no alcoholicas,NO,
A018,Alimentos y bebidas,01.1.1.5.0,01,Alimentos y bebidas no alcoholicas,NO,
A018,Alimentos y bebidas,01.1.1.9.5,01,Alimentos y bebidas no alcoholicas,NO,
A019,Alimentos y bebidas,01.1.1.1.1,01,Alimentos y bebidas no alcoholicas,NO,
